ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,DEP_HOUR,total_flights,delay_rate
10140,11259,8,4,0.0
10140,11259,9,23,0.0
10140,11259,10,3,33.33333333333333
10140,11259,11,12,0.0
10140,11259,12,13,7.6923076923076925
10140,11259,14,5,20.0
10140,11259,15,16,25.0
10140,11259,16,5,0.0
10140,11259,17,6,33.33333333333333
10140,11259,18,12,0.0
10140,11259,19,2,100.0
10140,11259,20,1,100.0
10140,11259,21,1,100.0
10140,11292,5,45,0.0
10140,11292,6,37,5.405405405405405
10140,11292,7,20,10.0
10140,11292,8,1,0.0
10140,11292,10,27,3.7037037037037033
10140,11292,11,16,25.0
10140,11292,12,3,0.0
10140,11292,13,27,7.4074074074074066
10140,11292,14,4,75.0
10140,11292,15,13,38.46153846153847
10140,11292,16,1,100.0
10140,11292,17,20,15.0
10140,11292,18,22,36.36363636363637
10140,11292,19,14,28.57142857142857
10140,11292,20,5,80.0
10140,11292,21,2,100.0
10140,11298,4,2,0.0
10140,11298,5,26,7.6923076923076925
10140,11298,6,2,0.0
10140,11298,7,26,11.538461538461538
10140,11298,8,3,66.66666666666666
10140,11298,10,24,0.0
10140,11298,11,26,3.8461538461538463
10140,11298,12,2,100.0
10140,11298,13,3,100.0
10140,11298,15,26,26.923076923076923
10140,11298,16,7,57.14285714285714
10140,11298,17,23,43.47826086956522
10140,11298,18,6,33.33333333333333
10140,11298,19,4,50.0
10140,11298,20,5,100.0
10140,12191,5,5,0.0
10140,12191,6,13,7.6923076923076925
10140,12191,7,11,0.0
10140,12191,8,1,100.0
10140,12191,9,12,0.0
10140,12191,10,5,20.0
10140,12191,14,22,0.0
10140,12191,15,7,42.857142857142854
10140,12191,16,1,0.0
10140,12264,14,17,0.0
10140,12264,15,11,18.181818181818183
10140,12264,16,1,100.0
10140,12264,17,1,100.0
10140,12266,7,27,0.0
10140,12266,8,2,0.0
10140,12266,12,1,100.0
10140,12478,0,7,28.57142857142857
10140,12478,1,2,100.0
10140,12478,2,1,100.0
10140,12478,13,1,100.0
10140,12478,22,2,0.0
10140,12478,23,12,0.0
10140,12889,5,4,0.0
10140,12889,6,16,0.0
10140,12889,7,10,20.0
10140,12889,10,16,0.0
10140,12889,11,10,10.0
10140,12889,12,20,5.0
10140,12889,13,8,0.0
10140,12889,14,10,10.0
10140,12889,15,12,16.666666666666664
10140,12889,16,3,100.0
10140,12889,17,13,7.6923076923076925
10140,12889,18,3,0.0
10140,12889,19,13,46.15384615384615
10140,12889,20,1,100.0
10140,12889,22,1,100.0
10140,12889,23,1,100.0
10140,12892,5,25,0.0
10140,12892,6,29,6.896551724137931
10140,12892,7,2,50.0
10140,12892,8,2,50.0
10140,12892,9,1,100.0
10140,12892,10,1,100.0
10140,12892,11,39,2.564102564102564
10140,12892,12,17,5.88235294117647
10140,12892,13,2,100.0
10140,12892,14,1,100.0
10140,12892,15,4,0.0
10140,12892,16,11,9.090909090909092
10140,12892,17,10,20.0
10140,12892,18,17,23.52941176470588
10140,12892,19,1,100.0
10140,12892,21,2,100.0
10140,12892,22,2,100.0
10140,12954,10,13,0.0
10140,12954,13,3,0.0
10140,12954,14,1,100.0
10140,13198,13,11,9.090909090909092
10140,13198,14,2,50.0
10140,13198,15,8,25.0
10140,13198,16,4,50.0
10140,13198,17,1,100.0
10140,13232,4,8,12.5
10140,13232,5,7,0.0
10140,13232,6,1,100.0
10140,13232,7,1,100.0
10140,13232,8,13,15.384615384615385
10140,13232,13,22,4.545454545454546
10140,13232,15,1,0.0
10140,13232,16,3,33.33333333333333
